Nom,Tipus_Equipament,Nombre_Llars_Subministrament,Energia_Produeix_ kWh,Nom_Districte,Emissions_ Estalviades_KgCO2,Longitude,Codi_Districte,Autoconsum_Xarxa,Potencia_kWp,Any_Alta,Latitude,Adreca
Plaça Trinitat (Biblioteca Trinitat Vella). Mitgera,Parets i mitgeres,4,8400,Sant Andreu,3024,2.190719206733,9,Autoconsum amb bateries,8.4,2014,41.449263502922,"Carrer de Galícia, 16"
El Jardí del Sol/Mitgera Arxiu Municipal de Barcelona,Parets i mitgeres,9,21060,Sant Martí,7582,2.194929632856,10,Autoconsum,21.06,2014,41.401106523282,"Carrer de la Ciutat de Granada, 106"
Multiequipament Calàbria,Coberta,16,37500,Eixample,13500,2.157559571075,2,Autoconsum,30,2015,41.378565187928,"Carrer Calàbria, 66-78"
Mercat del Ninot,Coberta,28,63750,Eixample,22950,2.154329084566,2,Autoconsum,51,2015,41.388402312382,"Carrer de Mallorca, 133"
Escola dels Encants,Coberta,37,84138,Eixample,30290,2.183155726893,2,Autoconsum,67.31,2015,41.404197325437,"Carrer Consell de Cent, 558"
Biblioteca Joan Miró II i III,Coberta,41,93675,Eixample,33723,2.149041910776,2,Autoconsum amb bateries,74.94,2015,41.378717201100,"Carrer de Vilamarí, 61"
Lleialtat Santsenca,Coberta,2,5000,Sants-Montjuïc,1800,2.136733682709,3,Autoconsum,4,2015,41.373097002447,"Carrer d'Olzinelles, 31"
Barcelona cicle de l'Aigua BCASA,Coberta,11,26325,Sants-Montjuïc,9477,2.138627153872,3,Autoconsum,21.06,2015,41.350911957353,"Carrer de l'acer, 16"
Ludoteca Olzinelles. Mitgera,Parets i mitgeres,10,23560,Sants-Montjuïc,8482,2.137954287402,3,Autoconsum,23.56,2015,41.370285475411,"Carrer d'Olzinelles, 113"
Centre Cívic Cristalerías Planell (equipament Anglesola),Coberta,2,4250,Les Corts,1530,2.131848221387,4,Autoconsum,3.4,2015,41.387459085060,"Carrer del Dr. Ibáñez, 38"
Escola Univers,Coberta,8,18750,Gràcia,6750,2.162628198056,6,Autoconsum,15,2015,41.402946143712,"Carrer Bailén, 225-231"
