Nom,Tipus_Equipament,Nombre_Llars_Subministrament,Energia_Produeix_ kWh,Nom_Districte,Emissions_ Estalviades_KgCO2,Longitude,Codi_Districte,Autoconsum_Xarxa,Potencia_kWp,Any_Alta,Latitude,Adreca
Seu del dte de Les Corts (Fase 2),Coberta,10,21875,Les Corts,7875,2.129787325224680,4,Autoconsum,17.5,2023,41.38589241239050,"Plaça de Comas, 18"
Seu Central Barcelona Activa (Viver Glòries),Coberta,17,38250,Sant Martí,13770,2.193018603694140,10,Autoconsum,22.5,2023,41.40678099188150,"Carrer Llacuna, 162"
Biblioteca Sagrada Família,Coberta,12,28200,Eixample,10152,2.176477968583,2,Autoconsum,22.56,2024,41.405798895248,"Carrer Provença, 480"
Institut Rambla Prim,Coberta,15,33863,Sant Martí,12191,2.212464924403,10,Autoconsum,27.09,2024,41.415974463482,"Carrer de Cristóbal de Moura, 223"
Seu del districte de Nou Barris,Coberta,11,26000,Nou Barris,9360,2.171149651386,8,Autoconsum,20.8,2024,41.436914021424,"Plaça Major de 08 Nou Barris, 1"
SAIER Tarragona,Coberta,8,18900,Sants-Montjuïc,6804,2.144055795564,3,Autoconsum,15.12,2024,41.379180181103,"Carrer de Tarragona, 173"
Casal Porta Trinitat (centre de vida),Coberta,33,75850,Sant Andreu,27306,2.189078029503,9,Autoconsum,60.68,2024,41.447841562940,"Via Favència, 399-411"
HPO P+O Binefar,Coberta,9,21763,Sant Martí,7835,2.204845195567,10,Autoconsum compartit amb compensació,17.41,2024,41.425728653440,"Carrer de Binèfar, 22"
HPO P+O Pallars,Coberta,10,23625,Sant Martí,8505,2.213058924402,10,Autoconsum compartit amb compensació,18.9,2024,41.413003325463,"Carrer de Pallars, 477"
HPO Local Joves Casernes C,Coberta,6,13800,Sant Andreu,4968,2.189543493476,9,Autoconsum,11.04,2024,41.444169448310,Carrer Antoni Santiburcio 4
TEB Sant Andreu (Taller Escola Barcelona SCCL),Coberta,26,59188,Sant Andreu,21308,2.193182253241,9,Autoconsum,47.35,2024,41.443965598420,"Carrer de Fernando Pessoa, 54-64"
UNED,Coberta,5,11688,Sant Andreu,4208,2.180574895538,9,Autoconsum,9.35,2024,41.436173599195,"Avinguda de Rio de Janeiro, 56"
Parc Tecnològic Nou Barris - Barcelona Activa - Oficines,Coberta,60,137075,Nou Barris,49347,2.168935905351,8,Autoconsum,109.66,2024,41.436679735774,"Carrer Marie Curie, 8"
Edifici Barcelona Activa - Almogàvers Business Factory,Coberta,12,28613,Sant Martí,10301,2.192972949261,10,Autoconsum,22.89,2024,41.399656186546,"Carrer dels Almogàvers, 165"
CEM Piscines Picornell,Coberta,56,128750,Sants-Montjuïc,46350,2.151009902781,3,Autoconsum,103,2024,41.365943590511,"Av. de l'Estadi, 30-38"
CEM Can Dragó - PALESTRA,Coberta,89,205738,Nou Barris,74066,2.181162204482,8,Autoconsum,164.59,2024,41.437257221971,"Carrer de Rosselló i Pòrcel, 2"
CEM Can Dragó - PISCINA,Coberta,49,113088,Nou Barris,40712,2.183063464877,8,Autoconsum,90.47,2024,41.436705463773,"Carrer de Rosselló i Pòrcel, 7"
CEM Cotxeres Borbó,Coberta,81,186250,Nou Barris,67050,2.176916874907,8,Autoconsum,149,2024,41.426439226367,"Carrer de Ramon Albó, 41, 57"
CEM Nova Icària,Coberta,99,228825,Sant Martí,82377,2.197734610910,10,Autoconsum,183.06,2024,41.392714162280,"Av. d'Icària, 167"
Centre de Treball de Residus Motors 21,Coberta,41,95000,L'Hospitalet de Llobregat,34200,2.130673776397, ,Autoconsum,76,2022,41.347143897526,"Carrer dels Motors, 21, 08040 L'Hospitalet de Llobregat"
Centre de Treball de Neteja Tànger 32,Coberta,2,4125,Sant Martí,1485,2.188931378366,10,Autoconsum,3.3,2022,41.399587737346,"Carrer de Tànger, 32"
Centre de Treball de Neteja Ali Bei 114,Coberta,4,10000,Eixample,3600,2.185565283928,2,Autoconsum,8,2023,41.396901160537,"Carrer d'Alí Bei, 114"
Escola Mediterrània,Coberta,11,25300,Ciutat Vella,9108,2.192147715171,1,Autoconsum,20.24,2024,41.379483452577,"Pg. Marítim de la Barceloneta, 5"
Escola Els Llorers,Coberta,21,47250,Eixample,17010,2.153213199272,2,Autoconsum,37.8,2024,41.383745822868,"Carrer d'Aragó, 121"
Centre Educació Especial Vil·la Joana,Coberta,45,104250,Sarrià-Sant Gervasi,37530,2.097490366616,5,Autoconsum,83.4,2024,41.421310478244,"Carrer Major del Rectoret, 2"
Centre Educació Especial La Ginesta,Coberta,10,22050,Horta-Guinardó,7938,2.142873700933,7,Autoconsum,17.64,2024,41.435402808380,"Carrer d'Hipàtia d'Alexandria, s/n"
Escola Pública Provençals,Coberta,9,20625,Sant Martí,7425,2.194524373629,10,Autoconsum,16.5,2024,41.407897336148,"Carrer del Perú, 105"
CEE El Nus (Escola Ramón y Cajal),Coberta,19,44100,Sant Andreu,15876,2.191783730940,9,Autoconsum,35.28,2024,41.451638417483,"Carrer de la Mare de Déu de Lorda, 25"
Escola Fructuós Gelabert,Coberta,18,41250,Eixample,14850,2.170357746641,2,Autoconsum,33,2024,41.405894801145,"Carrer de Sardenya, 368"
Escola Pere IV,Coberta,27,63000,Sant Martí,22680,2.200424685048,10,Autoconsum,50.4,2024,41.404979340865,"Carrer de Bilbao, 103, 117"
Escola La Llacuna del Poblenou,Coberta,27,61950,Sant Martí,22302,2.198144281223,10,Autoconsum,49.56,2024,41.402019511611,"Carrer de Pallars, 207"
Escola Fort Pienc,Coberta,14,33075,Eixample,11907,2.182500181580,2,Autoconsum,26.46,2024,41.395114594255,"Carrer d'Alí Bei, 75"
Escola Fluvià,Coberta,23,52500,Sant Martí,18900,2.207100895566,10,Autoconsum,42,2024,41.407363521938,"Carrer de Fluvià, 60"
Escola Eulàlia Bota,Coberta,39,89250,Sant Andreu,32130,2.192716046495,9,Autoconsum,71.4,2024,41.444652179542,"Carrer de Fernando Pessoa, 59"
Escola l'Arc de Sant Martí,Coberta,29,66700,Sant Martí,24012,2.199402768537332,10,Autoconsum,53.36,2024,41.42296451105657,"Carrer d'Almacelles, 1"
Escola Sant Martí,Coberta,12,27300,Sant Andreu,9828,2.1977864973851373,9,Autoconsum,21.84,2024,41.40487164179524,"Carrer de Sant Joan de Malta, 130"
Escola Anglesola,Coberta,15,33413,Les Corts,12029,2.133342910863509,4,Autoconsum,26.73,2024,41.38862910829373,"Carrer de Numància, 157"
Escola Josep Maria de Segarra,Coberta,14,31938,Gràcia,11498,2.1403619820285553,6,Autoconsum,25.55,2024,41.419657196602,"Pg. de la Vall d'Hebron, 64"
Escola La Maquinista,Coberta,13,30938,Sant Andreu,11138,2.1980623108658777,9,Autoconsum,24.75,2024,41.44649753888915,"Carrer de Ferran Junoy, 14"
Escola Can Fabra,Coberta,10,23625,Sant Andreu,8505,2.1915982108653496,9,Autoconsum,18.90,2024,41.43384090037771,"Carrer de Sant Adrià, 20"
Escola La Mar Bella,Coberta,14,31200,Sant Martí,11232,2.2045162820277744,10,Autoconsum,24.96,2024,41.400091275469926,"Plaça de Sant Bernat Calbó, 2"
Cotxeres TMB Horta,Coberta,245,563750,Horta-Guinardó,202950,2.1535701703914714,7,Autoconsum,451.00,2024,41.44000764401415,"Camí de Cal Notari, 110"
Sant Jordi Club,Coberta,268,616000,Sants-Montjuïc,221760,2.1545544127158514,3,Autoconsum,492.80,2025,41.36191565940808,"Passeig Olímpic, 6"
